Item,Register,SubRegister,ID,Index,Bit Locate,Type,Physical Address,Enumeration,Range,Description,Default Value,Bitwidth configuare,Min,Max,Constraint
CSR,ID,,0,0,[31:0],RO,DE000000,,,ID,0x60451000,,,,
CSR,REVISION,,0,1,[31:0],RO,DE000004,,,revision,0x23080105,,,,
CSR,STATUS,,0,2,[21:0],RW,DE000008,"0: CDMA_STATUS
1: SDMA_STATUS
2: LDMA_STATUS
3: FME_STATUS
4:RESERVED4
5: RESERVED5
6: RESERVED6
7: ISSUE_EXCEPTION
8: CDMA_EXCEPTION
9: SDMA_EXCEPTION
10: LDMA_EXCEPTION
11: GEMM_EXCEPTION
12: EDP_EXCEPTION
13: RESERVED13
14: RESERVED14
15: RESERVED15
16: RESERVED16
17: RESERVED17
18: RESERVED18
19: FETCH_BUF_FREE_ENTRY
20: IRQ_CMD_EN
21: SQR_CREDIT",,"[0]: CDMA status (read only)
[1]: SDMA status (read only)
[2]: LDMA status (read only)
[3]: FME status (read only)
[4]: N/A
[5~6]: reserved
[7]: ISSUE exception
[8]: CDMA exception
[9]: SDMA exception
[10]: LDMA exception
[11]: GEMM exception
[12]: EDP exception
[13~18]: reserved
[19]: fetch_buffer_free_entry
[20]: interrupt command enable
[21]: sqr credit",0,,,,
CSR,CONTROL,,0,3,[21:0],RW,DE00000C,"0: RESERVED0
1: RESERVED1
2: RESERVED2
3: RESERVED3
4: RESERVED4
5: RESERVED5
6: RESERVED6
7: ISSUE_EXCEPTION_MASK
8: CDMA_EXCEPTION_MASK
9: SDMA EXCEPTION_MASK
10: LDMA_EXCEPTION_MASK
11: GEMM_EXCEPTION_MASK
12: EDP_EXCEPTION_MASK
13: RESERVED13
14: RESERVED14
15: RESERVED15
16: RESERVED16
17: RESERVED17
18: RESERVED18
19: RESERVED19
20: IRQ_CMD_MASK
21: CDMA_CREDIT",,"[0~6]: reserved
[7]: ISSUE exception mask
[8]: CDMA exception mask
[9]: SDMA exception mask
[10]: LDMA exception mask
[11]: GEMM exception mask
[12]: EDP exception mask
[13~19]: reserved
[20]:  interrupt command mask
[21]: cdma credit",0,,,,
CSR,CREDIT,,0,4,[10:0],RO,DE000010,,,sqr credit number,1024,,,,
CSR,COUNTER,LSB,0,5,[21:0],RW,DE000014,,,,0,,,,
CSR,COUNTER,MSB,0,6,[9:0],RW,DE000018,,,,0,,,,
CSR,COUNTER_MASK,,0,7,[21:0],RW,DE00001C,,,,0,,,,
CSR,EXRAM_BASED_ADDR_0,LSB,0,8,[21:0],RW,DE000020,,,,0,,,,
CSR,EXRAM_BASED_ADDR_0,MSB,0,9,[9:0],RW,DE000024,,,,0,,,,
CSR,EXRAM_BASED_ADDR_1,LSB,0,10,[21:0],RW,DE000028,,,,0,,,,
CSR,EXRAM_BASED_ADDR_1,MSB,0,11,[9:0],RW,DE00002C,,,,0,,,,
CSR,EXRAM_BASED_ADDR_2,LSB,0,12,[21:0],RW,DE000030,,,,0,,,,
CSR,EXRAM_BASED_ADDR_2,MSB,0,13,[9:0],RW,DE000034,,,,0,,,,
CSR,EXRAM_BASED_ADDR_3,LSB,0,14,[21:0],RW,DE000038,,,,0,,,,
CSR,EXRAM_BASED_ADDR_3,MSB,0,15,[9:0],RW,DE00003C,,,,0,,,,
CSR,EXRAM_BASED_ADDR_4,LSB,0,16,[21:0],RW,DE000040,,,,0,,,,
CSR,EXRAM_BASED_ADDR_4,MSB,0,17,[9:0],RW,DE000044,,,,0,,,,
CSR,EXRAM_BASED_ADDR_5,LSB,0,18,[21:0],RW,DE000048,,,,0,,,,
CSR,EXRAM_BASED_ADDR_5,MSB,0,19,[9:0],RW,DE00004C,,,,0,,,,
CSR,EXRAM_BASED_ADDR_6,LSB,0,20,[21:0],RW,DE000050,,,,0,,,,
CSR,EXRAM_BASED_ADDR_6,MSB,0,21,[9:0],RW,DE000054,,,,0,,,,
CSR,EXRAM_BASED_ADDR_7,LSB,0,22,[21:0],RW,DE000058,,,,0,,,,
CSR,EXRAM_BASED_ADDR_7,MSB,0,23,[9:0],RW,DE00005C,,,,0,,,,
CSR,NOP,,0,31,[21:0],WO,DE00007C,,,nop command,0,,,,
SDMA,SFENCE,,1,0,[21:0],RW,DE000080,,,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,
SDMA,DIRECTION,,1,1,[0],RW,DE000084,"0: RD_FROM_BMC
1: WR_TO_BMC",,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",1,,,,
SDMA,EXRAM_ADDR,LSB,1,2,[21:0],RW,DE000088,,,External memory address,0,,,,
SDMA,EXRAM_ADDR,MSB,1,3,[9:0],RW,DE00008C,,,External memory address,0,,,,
SDMA,SHRAM_ADDR,,1,4,[9:0] ~ [21:0],RW,DE000090,,,Shared memory address,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,
SDMA,EXRAM_C,,1,5,[10:0] ~ [22:0],RW,DE000094,,,Channel size for external memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
SDMA,EXRAM_W,,1,6,[15:0],RW,DE000098,,,Width for external memory,0,,,,
SDMA,EXRAM_H,,1,7,[15:0],RW,DE00009C,,,Height for external memory,0,,,,
SDMA,EXRAM_N,,1,8,[15:0],RW,DE0000A0,,,The Number of kernel for external memory,0,,,,
SDMA,EXRAM_STRIDE_W_SIZE,,1,9,[21:0],RW,DE0000A4,,,Stride size for the first-dimension transaction ,0,,,,
SDMA,EXRAM_STRIDE_H_SIZE,,1,10,[21:0],RW,DE0000A8,,,Stride size for the second-dimension transaction ,0,,,,
SDMA,EXRAM_STRIDE_N_SIZE,,1,11,[21:0],RW,DE0000AC,,,Stride size for the third-dimension transaction ,0,,,,
SDMA,SHRAM_C,,1,12,[10:0] ~ [22:0],RW,DE0000B0,,,Channel size for shared memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
SDMA,SHRAM_W,,1,13,[15:0],RW,DE0000B4,,,Width for shared memory,0,,,,
SDMA,SHRAM_H,,1,14,[15:0],RW,DE0000B8,,,Height for shared memory,0,,,,
SDMA,SHRAM_N,,1,15,[15:0],RW,DE0000BC,,,The Number of kernel for shared memory,0,,,,
SDMA,SHRAM_PAD_RIGHT,,1,16,[3:0],RW,DE0000C0,,,Data right side padding,0,,,,
SDMA,SHRAM_PAD_LEFT,,1,17,[3:0],RW,DE0000C4,,,Data left side padding,0,,,,
SDMA,SHRAM_PAD_UP,,1,18,[3:0],RW,DE0000C8,,,Data upon padding,0,,,,
SDMA,SHRAM_PAD_DOWN,,1,19,[3:0],RW,DE0000CC,,,Data bottom padding,0,,,,
SDMA,CONST_VALUE,CONST VALUE DATA,1,20,[15:0],RW,DE0000D0,,,Const value data,0,,,,
SDMA,CONST_VALUE,Null,1,20,[19:16],RW,DE0000D0,,,null range,0,,,,
SDMA,CONST_VALUE,CONST VALUE SEL,1,20,[21:20],RW,DE0000D0,"2: SDMA_CONST_VALUE_7_0
3: SDMA_CONST_VALUE_15_0",,"0: disable this feature 
2: CONST_VALUE[7:0] available
3: CONST_VALUE[15:0] available",0,,,,
SDMA,CH_NUM,,1,21,[10:0] ~ [22:0],RW,DE0000D4,,,SHRAM algorithm required channel number (exclude dummy),0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
SDMA,SDMA_DEPADDING_BY_PASS,,1,22,[0],RW,DE0000D8,,,compression feature bypass if padding enabled,1,,,,
SDMA,PRESERVED0,,1,23,[0],RW,DE0000DC,,,preserved register 0 for LDMA reg order alignment,0,,,,
SDMA,PRESERVED1,,1,24,[0],RW,DE0000E0,,,preserved register 1 for LDMA reg order alignment,0,,,,
SDMA,PRESERVED2,,1,25,[0],RW,DE0000E4,,,preserved register 2 for LDMA reg order alignment,0,,,,
SDMA,SDMA_CHSUM_SEL,,1,26,[21:0],RW,DE0000E8,"0: SDMA_AW_ADDR
1: SDMA_AW_LENGTH
2: SDMA_W_DATA
3: SDMA_W_STRB
4: SDMA_BUF_W_DATA
5: SDMA_BUF_R_DATA
6:SDMA_SHRAM_R_DATA
7: SDMA_SHRAM_R_ADDR
8: SDMA_TOTAL_CYCLE_CNT
9: SDMA_BMC_CYCLE_CNT
10: SDMA_IBMC_CYCLE_CNT
11: SDMA_CMD_IDLE_CNT
12: SDMA_DATA_2_DATA_CNT
13: SDMA_CMD_2_CMD_CNT
14: SDMA_BMC_STATE
15: SDMA_BMC_CMD_CNT
16: SDMA_BUF_NUM
17: SDMA_COMP_CAT_NUM
18: SDMA_D_DATA_BUF_CNT",,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of SDMA check sum value
0: sdma_aw_addr
1: sdma_aw_length
2: sdma_w_data
3: sdma_w_strb
4: sdma_buf_w_data
5: sdma_buf_r_data
6: sdma_shram_r_data
7: sdma_shram_r_addr
8: sdma_total_cycle_cnt
9: sdma_bmc_cycle_cnt
10: sdma_ibmc_cycle_cnt
11: sdma_cmd_idle_cnt
12: sdma_data_2_data_cnt
13: sdma_cmd_2_cmd_cnt
14: sdma_bmc_state
15: sdma_bmc_cmd_cnt
16: sdma_buf_num
17: sdma_comp_cat_num
18: sdma_d_data_buf_cnt",0,,,,"sdma_total_cycle_cnt: sdma busy cycle count
sdma_bmc_cycle_cnt: busy cycle count of sdma bmc
sdma_ibmc_cycle_cnt: busy cycle count of sdma ibmc
sdma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
sdma_data_2_data_cnt: the latency of two valid data
sdma_cmd_2_cmd_cnt: the latency of two valid command"
SDMA,SDMA_CHSUM_DATA,,1,27,[31:0],RO,DE0000EC,,,"check-sum value of SDMA_CHSUM_SEL
data from SDMA, and output by riu_rdata directly,
the register is in SDMA",0,,,,
SDMA,SHRAM_STRIDE_W_SIZE,,1,28,[9:0] ~ [21:0],RW,DE0000F0,,,Stride size for the SHRAM first-dimension transaction ,0,,,,
SDMA,SHRAM_STRIDE_H_SIZE,,1,29,[9:0] ~ [21:0],RW,DE0000F4,,,Stride size for the SHRAM second-dimension transaction ,0,,,,
SDMA,SHRAM_STRIDE_N_SIZE,,1,30,[9:0] ~ [21:0],RW,DE0000F8,,,Stride size for the SHRAM third-dimension transaction ,0,,,,
LDMA,SFENCE,,2,0,[21:0],RW,DE000100,,,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,
LDMA,DIRECTION,,2,1,[0],RW,DE000104,"0: RD_FROM_BMC
1: WR_TO_BMC",,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",0,,,,
LDMA,EXRAM_ADDR,LSB,2,2,[21:0],RW,DE000108,,,External memory address,0,,,,
LDMA,EXRAM_ADDR,MSB,2,3,[9:0],RW,DE00010C,,,External memory address,0,,,,
LDMA,SHRAM_ADDR,,2,4,[9:0] ~ [21:0],RW,DE000110,,,Shared memory address,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,
LDMA,EXRAM_C,,2,5,[10:0] ~ [22:0],RW,DE000114,,,Channel size for external memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,EXRAM_W,,2,6,[15:0],RW,DE000118,,,Width for external memory,0,,,,
LDMA,EXRAM_H,,2,7,[15:0],RW,DE00011C,,,Height for external memory,0,,,,
LDMA,EXRAM_N,,2,8,[15:0],RW,DE000120,,,The number of kernel for external memory,0,,,,
LDMA,EXRAM_STRIDE_W_SIZE,,2,9,[21:0],RW,DE000124,,,Stride size for the first-dimension transaction ,0,,,,
LDMA,EXRAM_STRIDE_H_SIZE,,2,10,[21:0],RW,DE000128,,,Stride size for the second-dimension transaction ,0,,,,
LDMA,EXRAM_STRIDE_N_SIZE,,2,11,[21:0],RW,DE00012C,,,Stride size for the third-dimension transaction ,0,,,,
LDMA,SHRAM_C,,2,12,[10:0] ~ [22:0],RW,DE000130,,,Channel size for shared memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,SHRAM_W,,2,13,[15:0],RW,DE000134,,,Width for shared memory,0,,,,
LDMA,SHRAM_H,,2,14,[15:0],RW,DE000138,,,Height for shared memory,0,,,,
LDMA,SHRAM_N,,2,15,[15:0],RW,DE00013C,,,The number of kernel for shared memory,0,,,,
LDMA,SHRAM_PAD_RIGHT,,2,16,[3:0],RW,DE000140,,,Data right side padding,0,,,,
LDMA,SHRAM_PAD_LEFT,,2,17,[3:0],RW,DE000144,,,Data left side padding,0,,,,
LDMA,SHRAM_PAD_UP,,2,18,[3:0],RW,DE000148,,,Data upon padding,0,,,,
LDMA,SHRAM_PAD_DOWN,,2,19,[3:0],RW,DE00014C,,,Data bottom padding,0,,,,
LDMA,CONST_VALUE,CONST_VALUE_DATA,2,20,[15:0],RW,DE000150,,,Const value data,0,,,,
LDMA,CONST_VALUE,Null,2,20,[19:16],RW,DE000150,,,null range,0,,,,
LDMA,CONST_VALUE,CONST_VALUE_SEL,2,20,[21:20],RW,DE000150,"2: LDMA_CONST_VALUE_7_0
3: LDMA_CONST_VALUE_15_0",,"0: disable this feature 
2: CONST_VALUE[7:0] available
3: CONST_VALUE[15:0] available",0,,,,
LDMA,CH_NUM,,2,21,[10:0] ~ [22:0],RW,DE000154,,,SHRAM algorithm required channel number (exclude dummy),0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,LDMA_DECOMP_PADDING_BY_PASS,,2,22,[0],RW,DE000158,,,Decompression feature bypass if padding enabled,1,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_DATA,2,23,[15:0],RW,DE00015C,,,data of padding value,0,,,,
LDMA,RAM_PADDING_VALUE,Null,2,23,[19:16],RW,DE00015C,,,null,0,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_SEL,2,23,[21:20],RW,DE00015C,"2: LDMA_PADDING_VALUE_7_0
3: LDMA_PADDING_VALUE_15_0",,"2: RAM_PADDING_VALUE[7:0] available
3: RAM_PADDING_VALUE[15:0] available",0,,,,
LDMA,PAD_C_FRONT,,2,24,[13:0],RW,DE000160,,,Data channel front side padding,0,,,,
LDMA,PAD_C_BACK,,2,25,[13:0],RW,DE000164,,,Data channel back side padding,0,,,,
LDMA,LDMA_CHSUM_SEL,,2,26,[21:0],RW,DE000168,"0: LDMA_AR_ADDR
1: LDMA_AR_LENGTH
2: LDMA_R_DATA
3: LDMA_BUF_W_DATA
4: LDMA_BUF_R_DATA
5: LDMA_SHRAM_W_DATA
6: LDMA_SHRAM_W_ADDR
7: LDMA_SHRAM_W_MASK
8: LDMA_TOTAL_CYCLE_CNT
9: LDMA_BMC_CYCLE_CNT
10: LDMA_IBMC_CYCLE_CNT
11: LDMA_CMD_IDLE_CNT
12: LDMA_DATA_2_DATA_CNT
13: LDMA_CMD_2_CMD_CNT
14: LDMA_BMC_STATE
15: LDMA_BMC_CMD_CNT
16: LDMA_BUF_CNT
17: LDMA_DECOMP_CAT_NUM
18: LDMA_RAM_TRAN_STATE
19: LDMA_RAM_CH_STATE
20: LDMA_RAM_CH_STATE_D1
21: LDMA_RAM_CAT_NUM",,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of LDMA check sum value
0: ldma_ar_addr
1: ldma_ar_length
2: ldma_r_data
3: ldma_buf_w_data
4: ldma_buf_r_data
5: ldma_shram_w_data
6: ldma_shram_w_addr
7: ldma_shram_w_mask
8: ldma_total_cycle_cnt
9: ldma_bmc_cycle_cnt
10: ldma_ibmc_cycle_cnt
11: ldma_cmd_idle_cnt
12: ldma_data_2_data_cnt
13: ldma_cmd_2_cmd_cnt
14: ldma_bmc_state
15: ldma_bmc_cmd_cnt
16: ldma_buf_cnt
17: ldma_decomp_cat_num
18: ldma_ram_tran_state
19: ldma_ram_ch_state
20: ldma_ram_ch_state_d1
21: ldma_ram_cat_num",0,,,,"ldma_total_cycle_cnt: ldma busy cycle count
ldma_bmc_cycle_cnt: busy cycle count of ldma bmc
ldma_ibmc_cycle_cnt: busy cycle count of ldma ibmc
ldma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
ldma_data_2_data_cnt: the latency of two valid data
ldma_cmd_2_cmd_cnt: the latency of two valid command"
LDMA,LDMA_CHSUM_DATA,,2,27,[31:0],RO,DE00016C,,,"check-sum value of LDMA_CHSUM_SEL
data from LDMA, and output by riu_rdata directly,
the register is in LDMA",0,,,,
LDMA,SHRAM_STRIDE_W_SIZE,,2,28,[9:0] ~ [21:0],RW,DE000170,,,Stride size for the SHRAM first-dimension transaction ,0,,,,
